SATKER,TGL_DIFF,UP,REALGUP,PAGU,REALISASI,PAGU52,REAL52,PAGU53,REAL53,STATUS
641499,5,120000000,114184800,24527803000,14943871387,12320657000,6757068900,125000000,124500000,1
119036,5,6000000,5850000,552941000,108622966,552941000,108622966,-,-,1
428258,8,50000000,29670247,5703154000,3824663034,3122175000,2078736463,0,0,1
406402,12,30000000,29997600,9523262000,5786865308,5442466000,3193107308,0,0,1
574370,16,15000000,15000000,2105071000,1067596367,697278000,325588000,58800000,33000000,1
428242,13,60000000,59917634,9962056000,5645302898,6750333000,3420664983,-,-,1
682892,15,60000000,41987086,1939726000,901317615,1933376000,901317615,6350000,0,1
641499,15,120000000,101140000,24527803000,14943871387,12320657000,6757068900,125000000,124500000,1
450573,15,120000000,63533870,35832779000,19538731065,9319739000,3960958430,-,-,1
431142,15,48000000,46194083,9336655000,2503421109,8020096000,1714069624,44115000,20965000,1
431164,21,30000000,26959500,9610679000,3449667358,7658102000,2324548819,34722000,21232000,1
632160,21,300000000,174268327,120169407000,35449391690,43406093000,11281858329,29490658000,399065929,1
597541,23,45000000,44916210,4164040000,2316611666,1207608000,573189928,70000000,49913000,1
662110,23,18000000,16000000,3453866000,1859898566,398886000,161868370,87100000,48911250,1
418310,16,54000000,31278300,1722484000,646236555,1708067000,637319755,14417000,8916800,1
667222,17,30000000,29994849,8235631000,4430398535,3526535000,2134814055,249000000,203821225,1
553792,21,30000000,30000000,3550824000,2056627031,794243000,362957000,118727000,108538000,1
401656,86,56250000,56250000,238731394000,100661673256,238596234000,100661673256,135160000,-,0
413256,22,30000000,27722966,21427361000,11498068706,5358221000,3093219288,-,-,1
653705,24,8000000,4539808,734681000,282657893,232110000,65446727,0,0,1
425369,13,210000000,193638500,25085746000,17163909588,14975121000,10131211128,1828000000,1424096500,1
418400,16,30000000,28615228,2040082000,1185909364,846098000,511255037,32000000,31975000,1
352639,8,300000000,297163650,28236181000,22099330468,8318106000,4981545550,0,0,1
424239,11,18000000,18000000,5885015000,3653059353,975148000,622599190,120000000,119946000,1
681312,18,2211000,2211000,1845777000,1008244928,730747000,421837000,32050000,16000000,1
654886,18,300000000,234080300,75846139000,46610823617,19774735000,9836935243,0,0,1
440551,18,10000000,9999400,2182420000,1348991294,735930000,471945130,32000000,32000000,1
425369,14,210000000,203412017,25085746000,17163909588,14975121000,10131211128,1828000000,1424096500,1
418462,15,25000000,16180000,1959247000,1190973680,525542000,262691000,55500000,55500000,1
406402,2,30000000,30000000,9523262000,5786865308,5442466000,3193107308,0,0,1
654872,9,300000000,298890000,36420431000,23545960499,12070614000,6389938032,0,0,1
654872,17,300000000,153265000,36420431000,23545960499,12070614000,6389938032,0,0,1
440503,23,65000000,54835525,7861293000,3642066886,1784590000,722391484,1420000000,402524628,1
641571,1,33000000,32160000,98712647000,36255128982,62870634000,25915364574,30227700000,7155747775,1
406375,9,150000000,76017440,24905476000,13835795726,17798052000,9491083070,-,-,1
426072,13,30000000,29788600,4284145000,2482160413,1029773000,569188689,18000000,8000000,1
424245,23,30000000,30000000,6678704000,4150150268,1019108000,435100000,296700000,153300000,1
631158,26,36000000,33355733,3065404000,1221196427,2865404000,1214716427,100000000,-,1
406426,29,50000000,50000000,5453958000,3380436224,3514645000,1930522201,100000000,0,1
119004,30,75000000,42812069,1111575000,611124935,1111575000,611124935,-,-,1
418461,30,2000000,1037300,799841000,454670692,173830000,56646367,0,0,1
427454,9,60000000,52666975,11504211000,3983356598,2222820000,1020901225,90000000,-,1
656560,9,24000000,21500000,2644398000,1213770350,972493000,275185799,0,0,1
686250,1,440000000,151243240,47306926000,21653421897,34318902000,12682999448,-,-,1
675094,22,5656800,5656800,1605171000,730379699,540841000,320786600,14500000,14500000,1
418374,7,39000000,39000000,9163495000,6418899210,1613048000,968666000,375000000,363115000,1
119036,7,6000000,5790000,552941000,108622966,552941000,108622966,-,-,1
432841,12,300000000,169362226,30567108000,17977715283,15740163000,8415046474,3601445000,2666965759,1
653699,27,20000000,19878832,2138839000,1257383376,914310000,564116572,32000000,21886000,1
656574,28,15000000,9413000,3183354000,1785243641,958506000,300503644,0,0,1
665292,4,393857200,236434300,59020973000,34290731262,17415837000,8190241796,0,0,1
650113,1,19800000,700000,4517989000,2265231423,900035000,450806862,19500000,19468000,1
119138,1,34200000,3000000,862800000,614150057,862800000,614150057,-,-,1
672969,2,20000000,19839975,3967705000,2307741360,1405737000,869564696,87500000,84250000,1
670561,5,15000000,14998258,4815085000,1841574365,3638553000,1153393700,50785000,0,1
672851,9,15000000,14973860,4405499000,1939111643,2071211000,883098801,676595000,44128050,1
431170,10,20000000,18539900,8645755000,3633240122,5434022000,2412467810,1550785000,370150942,1
669254,13,48000000,46290000,15715554000,9735142298,5214803000,3324835251,-,-,1
414540,20,120000000,119261997,19065522000,8998344901,11350732000,4799106399,1032400000,697045705,1
406494,8,45000000,43446000,9816496000,5450292230,5461321000,2802257227,-,-,1
408143,8,60000000,50776887,10797007000,6057234432,5580386000,2675268891,71888000,69947000,1
410574,8,120000000,117955950,12933145000,7153145110,6165714000,3691440715,284993000,0,1
650114,22,16200000,13913628,10128619000,4902535204,816009000,330926252,186000000,85220000,1
650117,22,3600000,3180333,471454000,237910535,193250000,85076575,-,-,1
653705,27,8000000,5419816,734681000,282657893,232110000,65446727,0,0,1
402639,23,13000000,12700000,153000000,107630000,153000000,107630000,0,0,1
663212,28,4000000,3445700,175700000,88918400,175700000,88918400,-,-,1
686250,1,440000000,101457145,47306926000,21653421897,34318902000,12682999448,-,-,1
99003,4,36000000,25076599,6090892000,2990155812,1686481000,938379117,77500000,77150000,1
401946,4,20000000,18893695,30819119000,2354652634,927824000,453537844,27771349000,723693301,1
597494,15,19300000,19300000,3273605000,1582191703,1333880000,576285600,12000000,0,1
99232,12,18000000,17779720,331200000,190339340,331200000,190339340,0,0,1
408813,7,36000000,21445100,1151828000,526840249,1151828000,526840249,-,-,1
527933,7,60000000,31721695,4060727000,2198384084,2322040000,1203672084,984043000,653728000,1
537880,13,42000000,26062100,1841932000,871491494,1841932000,871491494,-,-,1
99003,13,36000000,28696027,6090892000,2990155812,1686481000,938379117,77500000,77150000,1
418368,20,12000000,11702620,4566397000,2432798628,887729000,494437431,782000000,350380937,1
686250,1,440000000,132527624,47306926000,21653421897,34318902000,12682999448,-,-,1
119039,1,6700000,3380000,303550000,163875200,303550000,163875200,-,-,1
672969,1,20000000,19302550,3967705000,2307741360,1405737000,869564696,87500000,84250000,1
641681,15,400000000,398090000,74095791000,38697340127,18880388000,9304817820,746000000,323822290,1
400944,17,60000000,40000000,8749455000,4696853575,5249427000,2901068378,99028000,67289000,1
597494,18,19300000,19300000,3273605000,1582191703,1333880000,576285600,12000000,0,1
402252,5,5000000,3400000,199500000,174450000,199500000,174450000,0,0,1
111910,6,21000000,18273190,5192721000,2627745590,3279949000,1714141760,1044893000,387202019,1
98991,10,30000000,27867406,5619549000,3153508449,1339370000,879118164,181500000,181325000,1
401944,2,30000000,30000000,29325014000,3238858460,1076688000,635524418,25475636000,880299093,1
406369,5,60000000,60000000,7451461000,5458474402,2169547000,1276733718,100000000,100000000,1
406402,7,30000000,29639425,9523262000,5786865308,5442466000,3193107308,0,0,1
641504,26,45000000,45000000,27392137000,15915851914,6399705000,2814168680,-,-,1
666502,30,38400000,36268100,9148750000,4463121265,2577690000,855221000,0,0,1
418425,36,20000000,18169333,2209540000,1288911129,836436000,464356134,32000000,31975000,0
561204,13,36000000,34572440,4057077000,2191407767,3158450000,1395899416,-,-,1
99003,13,36000000,20154513,6090892000,2990155812,1686481000,938379117,77500000,77150000,1
652212,14,39000000,38857435,4140444000,2740718688,2002774000,1288641455,0,0,1
656560,14,24000000,12137000,2644398000,1213770350,972493000,275185799,0,0,1
498097,28,120000000,112540300,325157090000,97720895102,9048000000,1435597850,316109090000,96285297252,1
238542,15,120000000,110780264,32786632000,15864984843,12286632000,4584907626,690000000,127441776,1
665307,16,240000000,422194250,44341528000,28453518761,13920948000,7922027979,0,0,1
418403,28,6000000,5541322,525905000,274990264,163730000,59158907,0,0,1
527961,9,25000000,17195537,1719478000,933978256,1297015000,608327256,244495000,233730000,1
410291,9,90000000,78958428,11506971000,5632371086,6164177000,2461778201,162477000,75185300,1
641656,9,300000000,280402750,75762340000,45345152128,22353253000,10465609693,-,-,1
653530,26,70000000,69602237,15144714000,4407542549,4492306000,653802053,2308780000,0,1
661211,27,5000000,5000000,2384931000,1198072012,506470000,237416412,78400000,78400000,1
656511,33,25200000,12643225,2919158000,1411976545,970241000,217826905,0,0,0
99232,21,18000000,15080000,331200000,190339340,331200000,190339340,0,0,1
418457,26,40000000,26151688,8830120000,4594091420,1625890000,656496889,0,0,1
683593,5,57000000,55896000,15395191000,8407302354,11083905000,5438426266,-,-,1
418304,5,240000000,212429487,159440424000,60790494477,51227421000,20107484296,104427198000,38406842157,1
641621,20,30000000,27600000,8310117000,4047279998,4351292000,1794090513,-,-,1
406375,11,150000000,145107908,24905476000,13835795726,17798052000,9491083070,-,-,1
648209,19,120000000,119120261,19016950000,3542052899,16384297000,2176737293,1100000000,300510000,1
111079,15,50000000,25321639,1580686000,648131331,1570236000,637681331,10450000,10450000,1
401833,18,20000000,19048500,2886183000,1566745797,984940000,492703250,0,0,1
505786,19,60000000,52516199,15224207000,8020058802,13880567000,7066009082,1343640000,954049720,1
402017,21,6000000,5782750,73905000,31963750,73905000,31963750,0,0,1
675102,28,1850000,1850000,1299555000,670298638,433418000,222945580,34000000,34000000,1
408820,29,6000000,4432000,214073000,120138800,214073000,120138800,-,-,1
410574,5,120000000,66150000,12933145000,7153145110,6165714000,3691440715,284993000,0,1
428233,22,75000000,74911142,6499356000,4483703948,4202902000,2684939946,0,0,1
109118,27,99900000,99900000,22165765000,13581479516,13781814000,8651112338,50000000,31469911,1
553104,19,15000000,7640000,3204406000,1939964233,723404000,380689000,153000000,151000000,1
656617,26,25500000,24681000,3167025000,1911264707,797263000,332170864,-,-,1
409810,15,72000000,65681562,10591423000,5256257654,5386655000,2081283021,61382000,-,1
406401,21,72000000,49184110,14625943000,7841315448,10753395000,5423057405,0,0,1
686250,5,440000000,20000000,47306926000,21653421897,34318902000,12682999448,-,-,1
683996,8,60000000,59577520,17621429000,9290892785,13267582000,6270483666,-,-,1
119770,8,300000000,243804438,22643393000,15901614712,13075863000,9164909409,109070000,109057500,1
683996,6,60000000,34560540,17621429000,9290892785,13267582000,6270483666,-,-,1
652190,13,45000000,42241120,7096438000,2903603029,2397554000,1337745561,2457733000,-,1
98970,14,40000000,39721151,6857603000,4279822186,2040923000,1321102522,114000000,79238000,1
418513,11,20000000,19992000,5270384000,2691966097,1028161000,495117797,245238000,129038000,1
110068,12,300000000,172840000,15009131000,2671691500,15009131000,2671691500,-,-,1
440506,25,2000000,1650000,167997000,89824718,42860000,20008029,0,0,1
574366,27,20000000,20000000,5041207000,2796947126,1048172000,496480000,64200000,64200000,1
652958,31,60000000,59992399,14537592000,8376667907,9517456000,5204788073,0,0,1
650829,2,22000000,16665600,11329738000,7433103382,1078933000,559684500,-,-,1
418462,7,25000000,14531000,1959247000,1190973680,525542000,262691000,55500000,55500000,1
683996,8,60000000,38624500,17621429000,9290892785,13267582000,6270483666,-,-,1
418508,13,36000000,33000000,9517075000,4932123426,2402640000,946785344,0,0,1
626115,10,30000000,29309400,2990095000,1785281428,809853000,377561833,100000000,71449320,1
420033,27,7900000,7900000,848340000,452353562,300034000,127374000,21950000,11300000,1
427159,11,120000000,103545491,51828406000,14310560796,45632448000,10812293312,1597000000,1230226600,1
403709,15,80000000,58585918,1837647000,842150073,1781487000,800150073,56160000,42000000,1
653700,29,48000000,41626642,13229759000,6360762199,4107610000,1443003664,0,0,1
401819,8,400000000,64846125,67143239000,32922725270,57078580000,27099430701,1250000000,49890000,1
411702,9,60000000,33306000,5169044000,2821587584,5169044000,2821587584,-,-,1
669062,12,24000000,15351000,10651294000,2719668882,8890877000,1843971570,120292000,5232000,1
637546,28,21000000,15446664,5590065000,2215229028,3718830000,1355466263,564267000,89734000,1
119036,21,6000000,5950000,552941000,108622966,552941000,108622966,-,-,1
631158,28,36000000,30646069,3065404000,1221196427,2865404000,1214716427,100000000,-,1
99003,13,36000000,21465236,6090892000,2990155812,1686481000,938379117,77500000,77150000,1
99231,13,20000000,18240000,354429000,170834797,354429000,170834797,0,0,1
111905,13,3000000,3000000,6625054000,3924848455,279580000,140890000,36000000,35850000,1
418440,16,12270300,11270300,6143820000,3489692802,1006723000,582801300,47001000,46990000,1
440557,16,1000000,1000000,172960000,89876725,55190000,24379100,-,-,1
666504,18,1200000,1200000,2445814000,1466597034,215027000,177560000,0,0,1
641511,14,108000000,90184000,26816363000,16804741248,5027839000,2563007231,-,-,1
403847,19,180000000,176018344,208432127000,105191604628,104689881000,46409393786,82236741000,46959734972,1
428233,27,75000000,52522000,6499356000,4483703948,4202902000,2684939946,0,0,1
7144,7,24000000,23831000,6427590000,3341669626,1498746000,509444000,7000000,0,1
400944,7,60000000,43234241,8749455000,4696853575,5249427000,2901068378,99028000,67289000,1
352638,20,300000000,192746000,24745086000,19905662759,8199685000,3140554039,0,0,1
440502,20,20000000,19949560,2211862000,1278444042,841877000,467474891,32000000,32000000,1
682562,11,120000000,98998298,15958144000,9004325600,5716253000,2414187708,25000000,-,1
641482,6,3608400,3608400,10971103000,6172771563,3457160000,1763869032,-,-,1
650130,6,15000000,12656000,2214614000,1334739644,765890000,467756000,361730000,321700000,1
237814,6,210000000,129647500,17580691000,8179549461,12418998000,5034242708,0,0,1
309374,11,7000000,7000000,6220190000,3174630435,1022752000,444932300,73210000,69000000,1
352639,11,300000000,168027000,28236181000,22099330468,8318106000,4981545550,0,0,1
622372,14,150000000,149489713,16209129000,8260051862,7439281000,3977119627,1600000000,450167554,1
428258,15,50000000,49019347,5703154000,3824663034,3122175000,2078736463,0,0,1
672953,19,5000000,2920000,89115000,41355500,89115000,41355500,-,-,1
401836,19,10000000,10000000,3568715000,2123253337,1046563000,567050000,0,0,1
633781,19,400000000,378487735,97446570000,40488725752,38631059000,18459822815,57030343000,21443575937,1
119037,7,17000000,16925000,954102000,357655501,954102000,357655501,-,-,1
656553,19,25000000,22102309,2843250000,1336574706,837895000,171754099,0,0,1
656574,22,15000000,14952510,3183354000,1785243641,958506000,300503644,0,0,1
665307,3,240000000,240000000,44341528000,28453518761,13920948000,7922027979,0,0,1
641567,3,150000000,142750000,27609379000,14817227560,16664508000,8884461733,0,0,1
641642,7,400000000,220925600,71436952000,43720890118,21787543000,11597314457,0,0,1
426041,32,36000000,36000000,6429792000,3602408153,1136584000,458550000,200000000,200000000,0
413293,8,180000000,14980000,44302886000,21749905012,23607300000,10390626997,2591141000,1194936200,1
7151,18,60000000,58728146,9878070000,6352540303,2424734000,1765731509,7000000,7000000,1
418457,29,40000000,26555159,8830120000,4594091420,1625890000,656496889,0,0,1
686250,6,440000000,37900000,47306926000,21653421897,34318902000,12682999448,-,-,1
537894,1,54000000,53955750,1743078000,947173527,1743078000,947173527,-,-,1
425369,14,210000000,149884468,25085746000,17163909588,14975121000,10131211128,1828000000,1424096500,1
682914,17,60000000,45147853,1870653000,989775156,1870653000,989775156,0,0,1
418523,18,18000000,13860555,10308977000,5092972338,1805790000,798298499,1750000000,497012300,1
418522,12,6000000,5893982,2268381000,1436940894,780844000,452273395,32000000,32000000,1
656553,20,25000000,24528229,2843250000,1336574706,837895000,171754099,0,0,1
579213,20,300000000,217632730,29702590000,18763496924,19129915000,11643533997,610125000,323800000,1
597558,20,15000000,12795000,1733771000,969557773,465470000,243758000,27200000,15000000,1
428270,14,30000000,26252295,7333696000,4812068317,3924619000,2628025022,0,0,1
406935,18,60000000,56339400,388383808000,228034674901,2000000000,1035104685,386383808000,226999570216,1
119132,27,102000000,84028815,10388165000,5017836635,10388165000,5017836635,-,-,1
641461,1,60000000,27044000,7239084000,3166429310,3582958000,1036466600,-,-,1
656528,9,15000000,14648650,2798960000,1310827417,924315000,262866946,0,0,1
237788,10,90000000,89948200,15079783000,8835880280,8091986000,4322898007,761120000,653108000,1
428270,11,30000000,29675553,7333696000,4812068317,3924619000,2628025022,0,0,1
672952,10,18000000,12560500,5792448000,3330816176,1701068000,1077105507,77500000,-,1
309360,22,53013000,53013000,7314619000,4615962794,1283358000,641304000,49000000,49000000,1
403410,31,2400000,1200000,92600000,53000000,92600000,53000000,0,0,1
418509,15,33000000,33000000,33956654000,16770924415,2369362000,1243813000,258650000,248155000,1
661211,22,5000000,5000000,2384931000,1198072012,506470000,237416412,78400000,78400000,1
426072,23,30000000,24140390,4284145000,2482160413,1029773000,569188689,18000000,8000000,1
98942,5,42000000,37351545,18877945000,11957244758,2803926000,1571109751,443000000,391654000,1
401944,7,30000000,24825751,29325014000,3238858460,1076688000,635524418,25475636000,880299093,1
119132,18,102000000,90531000,10388165000,5017836635,10388165000,5017836635,-,-,1
7172,18,80000000,79999990,8970219000,4962434303,2590098000,1265863939,207000000,7000000,1
410291,1,90000000,49950000,11506971000,5632371086,6164177000,2461778201,162477000,75185300,1
672969,3,20000000,18305000,3967705000,2307741360,1405737000,869564696,87500000,84250000,1
99003,8,36000000,23682331,6090892000,2990155812,1686481000,938379117,77500000,77150000,1
111904,8,15000000,12267750,3075014000,1661570870,905372000,267180826,0,0,1
637550,12,30000000,29437100,4830164000,2221775590,3153094000,1222599058,18722000,17220000,1
111714,20,300000000,287973500,43581925000,26547544567,13186783000,7056559554,0,0,1
641681,21,400000000,393571500,74095791000,38697340127,18880388000,9304817820,746000000,323822290,1
418419,21,18000000,17965000,1815011000,1043602975,414364000,202757407,34900000,34900000,1
401949,22,30000000,27397200,9669468000,6111115931,998644000,580701515,6210297000,4277485129,1
418359,26,51000000,35059530,6347250000,4014726419,3344812000,2231310784,-,-,1
655366,32,90000000,66957408,15359682000,3545466884,13339104000,2320331617,69507000,5230000,0
650114,32,16200000,10414470,10128619000,4902535204,816009000,330926252,186000000,85220000,0
661211,29,5000000,5000000,2384931000,1198072012,506470000,237416412,78400000,78400000,1
653700,25,48000000,42606296,13229759000,6360762199,4107610000,1443003664,0,0,1
700235,19,300000000,168932557,29315928000,14250442568,12530293000,5745983622,2044950000,619720050,1
641698,7,300000000,299984000,50077448000,31365998485,14574164000,8589422910,0,0,1
402638,15,60000000,50075000,3857212000,2607426647,1263012000,836971044,10000000,10000000,1
656553,31,25000000,12519070,2843250000,1336574706,837895000,171754099,0,0,1
641592,12,30000000,27955000,34491545000,19943071380,16101341000,9563426857,-,-,1
410574,6,120000000,76546000,12933145000,7153145110,6165714000,3691440715,284993000,0,1
656581,31,30000000,15973120,3275169000,1739396160,831626000,231169029,-,-,0
401833,10,20000000,18246000,2886183000,1566745797,984940000,492703250,0,0,1
440559,14,2000000,1613500,571233000,351392198,142150000,70071500,-,-,1
567495,6,120000000,119214750,14821595000,4962742550,8198395000,1939865198,1420000000,15328590,1
449752,8,120000000,60635452,11329222000,6834322670,3807463000,1666327895,397834000,-,1
561541,2,90000000,58048384,10661579000,5486002291,3159928000,1336018942,351462000,-,1
641677,2,300000000,232645000,75086458000,39912737130,18916054000,9561809119,776608000,481273891,1
553125,8,30000000,29664900,4662277000,2564222928,925706000,428175939,109150000,109102000,1
666502,31,38400000,19536300,9148750000,4463121265,2577690000,855221000,0,0,1
686250,2,440000000,19200000,47306926000,21653421897,34318902000,12682999448,-,-,1
653700,2,48000000,43996694,13229759000,6360762199,4107610000,1443003664,0,0,1
431127,6,100000000,68217636,14423694000,3191369149,12849198000,2362248919,50785000,0,1
402017,11,6000000,5960000,73905000,31963750,73905000,31963750,0,0,1
686250,3,440000000,20000000,47306926000,21653421897,34318902000,12682999448,-,-,1
98959,5,30000000,29839641,5818674000,3354053795,1715295000,751432948,111000000,77500000,1
418359,28,51000000,25998088,6347250000,4014726419,3344812000,2231310784,-,-,1
682892,29,60000000,42243513,1939726000,901317615,1933376000,901317615,6350000,0,1
111714,1,300000000,173913600,43581925000,26547544567,13186783000,7056559554,0,0,1
401819,3,400000000,226716583,67143239000,32922725270,57078580000,27099430701,1250000000,49890000,1
675577,6,18000000,9548472,9888967000,1758960948,8308538000,1151477553,438152000,20600000,1
402242,7,60000000,59999947,12115493000,6271156153,1580832000,859220111,145000000,144500000,1
